target,trial,trial_id,planning_success,cartesian_success,cartesian_fraction,contact_success,contact_left,contact_right,force_left,force_right,force_peak,attach_success,holding_success,lift_success,failure_stage,failure_reason,duration,stage_planning_sec,stage_descend_sec,stage_contact_sec,stage_attach_sec,stage_lift_sec,lift_attempt,lift_fraction,lift_duration,lift_distance,lift_start_tcp_x,lift_start_tcp_y,lift_start_tcp_z,lift_target_tcp_x,lift_target_tcp_y,lift_target_tcp_z,lift_final_tcp_x,lift_final_tcp_y,lift_final_tcp_z,max_start_joint_error,lift_error_code,lift_error_text,settle_sec,reset_ok,reset_before_object_x,reset_before_object_y,reset_before_object_z,reset_before_object_yaw,reset_before_object_v,reset_before_object_w,reset_before_tcp_x,reset_before_tcp_y,reset_before_tcp_z,reset_before_arm_max_abs_err,reset_before_gripper_left,reset_before_gripper_right,reset_before_gripper_gap_mm,reset_before_contact_left,reset_before_contact_right,reset_before_force_left,reset_before_force_right,reset_before_attached,reset_before_holding,reset_before_sim_time,reset_after_object_x,reset_after_object_y,reset_after_object_z,reset_after_object_yaw,reset_after_object_v,reset_after_object_w,reset_after_tcp_x,reset_after_tcp_y,reset_after_tcp_z,reset_after_arm_max_abs_err,reset_after_gripper_left,reset_after_gripper_right,reset_after_gripper_gap_mm,reset_after_contact_left,reset_after_contact_right,reset_after_force_left,reset_after_force_right,reset_after_attached,reset_after_holding,reset_after_sim_time,trial_start_object_x,trial_start_object_y,trial_start_object_z,trial_start_object_yaw,trial_start_object_v,trial_start_object_w,trial_start_tcp_x,trial_start_tcp_y,trial_start_tcp_z,trial_start_arm_max_abs_err,trial_start_gripper_left,trial_start_gripper_right,trial_start_gripper_gap_mm,trial_start_contact_left,trial_start_contact_right,trial_start_force_left,trial_start_force_right,trial_start_attached,trial_start_holding,trial_start_sim_time
high_voltage_probe_kit,1,1,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,29.320894,6.920887,6.272299,6.869035,1.063305,4.974816,primary,1.000000,4.890270,0.109944,0.593909,-0.075396,0.650282,0.593855,-0.075346,0.760226,0.593913,-0.075440,0.760287,0.000000,1,,0.550735,1,-4.299902,-2.599858,0.747902,-0.161734,0.000000,0.000000,0.492560,0.138649,0.752872,0.031253,0.000011,0.000000,91.988942,0,0,0.000000,0.000000,0,0,1788109369.670862,-4.299916,-2.599907,0.747902,-0.161709,0.000000,0.000000,0.492021,0.134270,0.756961,0.005657,0.000023,-0.000023,92.000005,0,0,0.000000,0.000000,0,0,1788109420.913514,-4.299916,-2.599907,0.747902,-0.161709,0.000000,0.000000,0.492019,0.134261,0.756969,0.005657,0.000023,-0.000023,92.000005,0,0,0.000000,0.000000,0,0,1788109420.924422
high_voltage_probe_kit,2,2,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,36.667255,13.229197,7.238849,6.940676,1.029210,5.008754,primary,1.000000,4.906401,0.109898,0.593746,-0.075512,0.650017,0.593536,-0.075384,0.759915,0.593740,-0.075553,0.760022,0.000000,1,,0.534042,1,-4.300105,-2.599849,0.857464,-0.161456,0.471953,0.835975,0.593923,-0.075449,0.760292,0.350743,0.022442,0.020058,49.500002,1,1,20.000000,20.000000,1,1,1788109450.342193,-4.299911,-2.599908,0.747902,-0.162186,0.000000,0.000000,0.493070,0.131874,0.757986,0.002920,0.000023,-0.000023,92.000005,0,0,20.000000,20.000000,0,0,1788109512.015110,-4.299911,-2.599908,0.747902,-0.162186,0.000000,0.000000,0.492841,0.132163,0.757968,0.002340,0.000020,-0.000000,91.979896,0,0,20.000000,20.000000,0,0,1788109512.084811
high_voltage_probe_kit,3,3,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,38.140554,16.115201,5.463615,6.544844,1.075832,5.684556,primary,1.000000,5.598393,0.109848,0.594744,-0.075922,0.650339,0.594399,-0.075703,0.760186,0.594735,-0.075959,0.760343,0.000000,1,,0.532665,1,-4.300145,-2.599851,0.857400,-0.163274,0.548565,1.388393,0.593737,-0.075572,0.760033,0.350994,0.022621,0.020479,48.900026,0,1,20.000000,20.000000,1,1,1788109548.853768,-4.299879,-2.599833,0.747902,-0.162828,0.000000,0.000000,0.493301,0.131580,0.758003,0.002925,0.000022,-0.000000,91.977856,0,0,20.000000,20.000000,0,0,1788109612.202218,-4.299879,-2.599833,0.747902,-0.162828,0.000000,0.000000,0.493301,0.131580,0.758003,0.002319,0.000022,-0.000000,91.978490,0,0,20.000000,20.000000,0,0,1788109612.301915
high_voltage_probe_kit,4,4,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,34.155942,12.053841,5.269531,6.958025,1.080427,5.548223,primary,1.000000,5.443785,0.109806,0.594100,-0.075704,0.650108,0.593627,-0.075447,0.759913,0.594101,-0.075744,0.759224,0.000000,1,,0.581217,1,-4.300125,-2.599784,0.857393,-0.165484,0.570409,2.211478,0.594756,-0.075955,0.760338,0.350980,0.021490,0.021310,49.200107,0,1,20.000000,20.000000,1,1,1788109650.510118,-4.299813,-2.599654,0.747902,-0.164165,0.000000,0.000000,0.493076,0.131867,0.757986,0.003511,0.000023,-0.000023,92.000006,0,0,20.000000,20.000000,0,0,1788109719.105828,-4.299813,-2.599654,0.747902,-0.164165,0.000000,0.000000,0.493076,0.131867,0.757986,0.002926,0.000024,-0.000024,92.000007,0,0,20.000000,20.000000,0,0,1788109719.180832
high_voltage_probe_kit,5,5,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,36.973822,14.985985,4.819759,6.976709,1.058784,5.899038,primary,1.000000,5.817298,0.109774,0.594359,-0.075818,0.650141,0.593755,-0.075522,0.759913,0.594358,-0.075879,0.759272,0.000000,1,,0.541327,1,-4.300064,-2.599612,0.857404,-0.168220,0.608806,3.097560,0.594104,-0.075751,0.760108,0.350944,0.022368,0.020732,48.900235,0,1,20.000000,20.000000,1,1,1788109753.439507,-4.299707,-2.599383,0.747902,-0.166094,0.000000,0.000000,0.493749,0.130992,0.758047,0.002924,-0.000000,0.000000,91.999504,0,0,20.000000,20.000000,0,0,1788109822.125005,-4.299707,-2.599383,0.747902,-0.166094,0.000000,0.000000,0.493749,0.130992,0.758047,0.002340,-0.000001,0.000001,92.000002,0,0,20.000000,20.000000,0,0,1788109822.175692
