target,trial,trial_id,planning_success,cartesian_success,cartesian_fraction,contact_success,contact_left,contact_right,force_left,force_right,force_peak,attach_success,holding_success,lift_success,failure_stage,failure_reason,duration,stage_planning_sec,stage_descend_sec,stage_contact_sec,stage_attach_sec,stage_lift_sec
high_voltage_probe_kit,1,1,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,50.956277,8.029836,5.511260,6.909174,0.780043,3.926190
high_voltage_probe_kit,2,2,1,1,,1,1,1,0.000000,0.000000,0.000000,0,0,0,CONTACT,FAILED_CONTACT high_voltage_probe_kit,23.327720,11.677841,3.499717,,,
high_voltage_probe_kit,3,3,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,24.836753,3.638591,3.075992,7.730802,0.716592,6.448949
