target,trial,trial_id,planning_success,cartesian_success,cartesian_fraction,contact_success,contact_left,contact_right,force_left,force_right,force_peak,attach_success,holding_success,lift_success,failure_stage,failure_reason,duration,stage_planning_sec,stage_descend_sec,stage_contact_sec,stage_attach_sec,stage_lift_sec,lift_attempt,lift_fraction,lift_duration,lift_distance,lift_start_tcp_x,lift_start_tcp_y,lift_start_tcp_z,lift_target_tcp_x,lift_target_tcp_y,lift_target_tcp_z,lift_final_tcp_x,lift_final_tcp_y,lift_final_tcp_z,max_start_joint_error,lift_error_code,lift_error_text,lift_primary_success,lift_primary_error_code,lift_primary_error_text,lift_recovery_attempted,lift_recovery_fraction,lift_recovery_success,lift_recovery_error_code,lift_recovery_error_text,lift_final_success,settle_sec,reset_ok,reset_before_object_x,reset_before_object_y,reset_before_object_z,reset_before_object_yaw,reset_before_object_v,reset_before_object_w,reset_before_tcp_x,reset_before_tcp_y,reset_before_tcp_z,reset_before_arm_max_abs_err,reset_before_gripper_left,reset_before_gripper_right,reset_before_gripper_gap_mm,reset_before_contact_left,reset_before_contact_right,reset_before_force_left,reset_before_force_right,reset_before_attached,reset_before_holding,reset_before_sim_time,reset_after_object_x,reset_after_object_y,reset_after_object_z,reset_after_object_yaw,reset_after_object_v,reset_after_object_w,reset_after_tcp_x,reset_after_tcp_y,reset_after_tcp_z,reset_after_arm_max_abs_err,reset_after_gripper_left,reset_after_gripper_right,reset_after_gripper_gap_mm,reset_after_contact_left,reset_after_contact_right,reset_after_force_left,reset_after_force_right,reset_after_attached,reset_after_holding,reset_after_sim_time,trial_start_object_x,trial_start_object_y,trial_start_object_z,trial_start_object_yaw,trial_start_object_v,trial_start_object_w,trial_start_tcp_x,trial_start_tcp_y,trial_start_tcp_z,trial_start_arm_max_abs_err,trial_start_gripper_left,trial_start_gripper_right,trial_start_gripper_gap_mm,trial_start_contact_left,trial_start_contact_right,trial_start_force_left,trial_start_force_right,trial_start_attached,trial_start_holding,trial_start_sim_time
tooling_fixture_box,1,1,1,1,,1,1,1,13.800000,13.800000,13.800000,1,1,1,SUCCESS,none,33.371812,19.665548,5.168900,0.106181,0.839235,4.350294,primary,1.000000,4.273879,0.114946,0.592450,0.016595,0.621181,0.592355,0.016555,0.736127,0.592466,0.016588,0.735345,0.000000,1,,1,1,,0,,,,,1,3.573918,1,-3.879977,-2.039945,0.757680,-0.280162,0.003217,0.059460,,,,0.002940,0.000000,0.000000,91.999524,0,0,0.000000,0.000000,0,0,1788146309.381905,-3.880021,-2.040010,0.757700,-0.280007,0.001937,0.027596,0.492026,0.133732,0.757407,0.002753,-0.000000,0.000000,91.999535,0,0,0.000000,0.000000,0,0,1788146313.371879,-3.880021,-2.040010,0.757700,-0.280007,0.001937,0.027596,0.492026,0.133732,0.757407,0.002748,-0.000001,0.000001,92.000000,0,0,0.000000,0.000000,0,0,1788146313.412252
tooling_fixture_box,2,2,1,1,,1,1,1,13.800000,13.800000,13.800000,1,1,1,SUCCESS,none,32.630172,18.460438,5.493671,0.104998,0.777581,4.548630,primary,1.000000,4.460102,0.114899,0.592765,0.016835,0.621480,0.592561,0.016785,0.736379,0.592770,0.016810,0.736401,0.000000,1,,1,1,,0,,,,,1,1.205849,1,-3.879806,-2.039881,0.872460,-0.280812,0.136858,0.656070,0.592473,0.016586,0.736184,3.141651,0.006053,0.005947,80.000003,1,1,13.800000,13.800000,1,1,1788146347.669962,-3.879993,-2.040024,0.757861,-0.279864,0.000946,0.025799,0.491905,0.133277,0.757890,0.000060,0.000000,0.000016,91.984412,0,0,13.800000,13.800000,0,0,1788146413.922206,-3.879993,-2.040024,0.757861,-0.279864,0.000946,0.025799,0.491905,0.133276,0.757891,0.000059,-0.000019,0.000019,92.000003,0,0,13.800000,13.800000,0,0,1788146414.008851
tooling_fixture_box,3,3,1,1,,1,1,1,13.800000,13.800000,13.800000,1,1,1,SUCCESS,none,62.166991,45.607959,7.714092,0.105003,0.869819,4.623740,primary,1.000000,4.510768,0.114843,0.592890,0.016399,0.621297,0.592343,0.016535,0.736138,0.592887,0.016312,0.736220,0.000000,1,,1,1,,0,,,,,1,1.130931,1,-3.879825,-2.039888,0.872624,-0.280622,0.246352,0.947747,0.592778,0.016802,0.736483,1.651573,0.006033,0.005967,79.999999,0,1,13.800000,13.800000,1,1,1788146447.527912,-3.879993,-2.040024,0.757861,-0.279864,0.000946,0.025799,0.491903,0.133341,0.757886,0.000070,0.000019,-0.000019,92.000003,0,0,13.800000,13.800000,0,0,1788146514.936412,-3.879993,-2.040024,0.757861,-0.279864,0.000946,0.025799,0.491903,0.133341,0.757886,0.000070,0.000019,-0.000019,92.000003,0,0,13.800000,13.800000,0,0,1788146515.015574
tooling_fixture_box,4,4,1,1,,1,1,1,13.800000,13.800000,13.800000,1,1,1,SUCCESS,none,57.329266,42.735551,5.048973,0.108129,0.951053,5.253766,primary,1.000000,5.136924,0.115232,0.594617,0.017062,0.621732,0.593618,0.016761,0.736960,0.594401,0.017006,0.736795,0.000000,1,,1,1,,0,,,,,1,1.456411,1,-3.879574,-2.039521,0.872540,-0.281516,0.380845,3.246985,0.592875,0.016287,0.736311,1.651784,0.005860,0.006140,80.000025,0,1,13.800000,13.800000,1,1,1788146579.015252,-3.880043,-2.040008,0.757775,-0.279903,0.002060,0.025194,0.491926,0.133207,0.757871,0.000068,0.000030,-0.000030,92.000007,0,0,13.800000,13.800000,0,0,1788146648.589409,-3.880043,-2.040008,0.757775,-0.279903,0.002060,0.025194,0.491926,0.133207,0.757871,0.000068,0.000030,-0.000030,92.000007,0,0,13.800000,13.800000,0,0,1788146648.673692
tooling_fixture_box,5,5,1,1,,1,1,1,13.800000,13.800000,13.800000,1,0,0,LIFT_EXECUTION,FAILED_LIFT_EXECUTION tooling_fixture_box,121.554214,19.110705,4.675071,0.104779,0.877176,,scene_detached,1.000000,45.682902,0.001126,0.595133,0.016059,0.736614,0.594215,0.016657,0.736354,0.595030,0.015954,0.736591,0.000000,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,1,1.000000,0,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,1.514014,1,-3.879748,-2.039643,0.872403,-0.280420,0.488101,3.586157,0.594313,0.016975,0.736825,3.398189,0.006363,0.005637,80.000111,0,1,13.800000,13.800000,1,1,1788146707.800652,-3.880042,-2.040010,0.757756,-0.279902,0.003385,0.043480,0.491904,0.133285,0.757891,0.000035,-0.000000,0.000000,91.999540,0,0,13.800000,13.800000,0,0,1788146777.757482,-3.880042,-2.040010,0.757756,-0.279902,0.003385,0.043480,0.491904,0.133285,0.757891,0.000035,-0.000000,0.000000,92.000000,0,0,13.800000,13.800000,0,0,1788146777.776036
