target,trial,trial_id,planning_success,cartesian_success,cartesian_fraction,contact_success,contact_left,contact_right,force_left,force_right,force_peak,attach_success,holding_success,lift_success,failure_stage,failure_reason,duration,stage_planning_sec,stage_descend_sec,stage_contact_sec,stage_attach_sec,stage_lift_sec,lift_attempt,lift_fraction,lift_duration,lift_distance,lift_start_tcp_x,lift_start_tcp_y,lift_start_tcp_z,lift_target_tcp_x,lift_target_tcp_y,lift_target_tcp_z,lift_final_tcp_x,lift_final_tcp_y,lift_final_tcp_z,max_start_joint_error,lift_error_code,lift_error_text,settle_sec,reset_ok,reset_before_object_x,reset_before_object_y,reset_before_object_z,reset_before_object_yaw,reset_before_object_v,reset_before_object_w,reset_before_tcp_x,reset_before_tcp_y,reset_before_tcp_z,reset_before_arm_max_abs_err,reset_before_gripper_left,reset_before_gripper_right,reset_before_gripper_gap_mm,reset_before_contact_left,reset_before_contact_right,reset_before_force_left,reset_before_force_right,reset_before_attached,reset_before_holding,reset_before_sim_time,reset_after_object_x,reset_after_object_y,reset_after_object_z,reset_after_object_yaw,reset_after_object_v,reset_after_object_w,reset_after_tcp_x,reset_after_tcp_y,reset_after_tcp_z,reset_after_arm_max_abs_err,reset_after_gripper_left,reset_after_gripper_right,reset_after_gripper_gap_mm,reset_after_contact_left,reset_after_contact_right,reset_after_force_left,reset_after_force_right,reset_after_attached,reset_after_holding,reset_after_sim_time,trial_start_object_x,trial_start_object_y,trial_start_object_z,trial_start_object_yaw,trial_start_object_v,trial_start_object_w,trial_start_tcp_x,trial_start_tcp_y,trial_start_tcp_z,trial_start_arm_max_abs_err,trial_start_gripper_left,trial_start_gripper_right,trial_start_gripper_gap_mm,trial_start_contact_left,trial_start_contact_right,trial_start_force_left,trial_start_force_right,trial_start_attached,trial_start_holding,trial_start_sim_time
material_spare_igbt,1,1,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,41.545860,18.175924,11.701801,1.956209,0.988183,5.468661,primary,1.000000,5.394001,0.114958,0.566807,-0.034305,0.609987,0.566699,-0.034318,0.724945,0.566815,-0.034321,0.724992,0.000000,1,,0.550517,1,-3.619973,-2.600043,0.751919,0.380095,0.000635,0.043357,0.492547,0.139018,0.752672,0.033019,-0.000012,0.000012,92.000002,0,0,0.000000,0.000000,0,0,1788110368.834261,-3.619982,-2.600038,0.751921,0.380066,0.001084,0.014314,0.492019,0.134329,0.756949,0.005710,-0.000001,0.000001,92.000000,0,0,0.000000,0.000000,0,0,1788110424.589992,-3.619982,-2.600038,0.751921,0.380068,0.001008,0.018527,0.492019,0.134329,0.756949,0.005710,-0.000001,0.000001,92.000000,0,0,0.000000,0.000000,0,0,1788110424.612896
material_spare_igbt,2,2,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,68.575061,47.765570,9.217784,1.753886,1.076556,5.510778,primary,1.000000,5.394823,0.114876,0.566997,-0.034334,0.610054,0.566691,-0.034356,0.724929,0.566980,-0.034332,0.725054,0.000000,1,,0.625570,1,-3.619973,-2.600084,0.866797,0.379874,0.158381,0.678490,0.566820,-0.034324,0.724996,2.248430,0.034356,0.034544,23.100002,1,0,20.000000,20.000000,1,1,1788110466.245857,-3.619940,-2.600043,0.751913,0.379974,0.000000,0.000000,0.491904,0.133285,0.757891,0.000035,0.000000,0.000000,91.999552,0,0,20.000000,20.000000,0,0,1788110535.991009,-3.619940,-2.600043,0.751913,0.379974,0.000000,0.000000,0.491904,0.133285,0.757891,0.000035,-0.000000,0.000000,91.999554,0,0,20.000000,20.000000,0,0,1788110536.058348
material_spare_igbt,3,3,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,56.029196,31.929871,12.640629,1.944614,0.959368,5.315220,primary,1.000000,5.242061,0.115134,0.567328,-0.034262,0.609811,0.566695,-0.034327,0.724943,0.567317,-0.034262,0.724746,0.000000,1,,0.618529,1,-3.619937,-2.600133,0.866704,0.379437,0.307882,1.269348,0.566982,-0.034337,0.725057,3.141242,0.034168,0.034032,23.800001,0,0,20.000000,20.000000,1,1,1788110604.775526,-3.619974,-2.600042,0.751921,0.380090,0.001007,0.018790,0.491907,0.133273,0.757890,0.000062,-0.000016,0.000016,92.000002,0,0,20.000000,20.000000,0,0,1788110674.786994,-3.619974,-2.600042,0.751920,0.380091,0.000131,0.036856,0.491907,0.133273,0.757890,0.000062,-0.000016,0.000016,92.000002,0,0,20.000000,20.000000,0,0,1788110674.924087
material_spare_igbt,4,4,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,65.808517,42.832343,11.281015,1.984637,0.976262,5.478207,primary,1.000000,5.388716,0.114749,0.567589,-0.034212,0.610192,0.566762,-0.034398,0.724937,0.567593,-0.034145,0.725177,0.000000,1,,0.614233,1,-3.619905,-2.600442,0.866952,0.377806,0.533593,3.188560,0.567302,-0.034270,0.724812,3.286454,0.034437,0.034463,23.100014,1,0,20.000000,20.000000,1,1,1788110731.036189,-3.619864,-2.599944,0.751921,0.379193,0.001121,0.014554,0.491904,0.133285,0.757891,0.000037,0.000000,0.000000,91.999553,0,0,20.000000,20.000000,0,0,1788110797.856527,-3.619864,-2.599944,0.751921,0.379193,0.001121,0.014554,0.491904,0.133285,0.757891,0.000037,0.000000,0.000000,91.999553,0,0,20.000000,20.000000,0,0,1788110797.922457
material_spare_igbt,5,5,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,131.426501,21.643377,11.406682,1.867334,0.966330,92.300658,scene_detached,1.000000,35.120016,0.001012,0.567774,-0.034763,0.725208,0.566845,-0.034459,0.724945,0.567715,-0.034762,0.725207,0.000000,1,,0.549236,1,-3.619585,-2.600538,0.867052,0.377106,0.749091,4.297221,0.567594,-0.034122,0.725180,3.142313,0.034284,0.034616,23.099979,0,0,20.000000,20.000000,1,1,1788110863.790205,-3.619766,-2.599831,0.751922,0.378338,0.001036,0.014638,0.491922,0.133303,0.757881,0.000068,-0.000031,0.000031,92.000008,0,0,20.000000,20.000000,0,0,1788110929.562722,-3.619766,-2.599832,0.751921,0.378338,0.000947,0.024464,0.491922,0.133303,0.757881,0.000074,-0.000023,0.000023,92.000005,0,0,20.000000,20.000000,0,0,1788110929.655618
