target,trial,trial_id,planning_success,cartesian_success,cartesian_fraction,contact_success,contact_left,contact_right,force_left,force_right,force_peak,attach_success,holding_success,lift_success,failure_stage,failure_reason,duration,stage_planning_sec,stage_descend_sec,stage_contact_sec,stage_attach_sec,stage_lift_sec,lift_attempt,lift_fraction,lift_duration,lift_distance,lift_start_tcp_x,lift_start_tcp_y,lift_start_tcp_z,lift_target_tcp_x,lift_target_tcp_y,lift_target_tcp_z,lift_final_tcp_x,lift_final_tcp_y,lift_final_tcp_z,max_start_joint_error,lift_error_code,lift_error_text,settle_sec,reset_ok,reset_before_object_x,reset_before_object_y,reset_before_object_z,reset_before_object_yaw,reset_before_object_v,reset_before_object_w,reset_before_tcp_x,reset_before_tcp_y,reset_before_tcp_z,reset_before_arm_max_abs_err,reset_before_gripper_left,reset_before_gripper_right,reset_before_gripper_gap_mm,reset_before_contact_left,reset_before_contact_right,reset_before_force_left,reset_before_force_right,reset_before_attached,reset_before_holding,reset_before_sim_time,reset_after_object_x,reset_after_object_y,reset_after_object_z,reset_after_object_yaw,reset_after_object_v,reset_after_object_w,reset_after_tcp_x,reset_after_tcp_y,reset_after_tcp_z,reset_after_arm_max_abs_err,reset_after_gripper_left,reset_after_gripper_right,reset_after_gripper_gap_mm,reset_after_contact_left,reset_after_contact_right,reset_after_force_left,reset_after_force_right,reset_after_attached,reset_after_holding,reset_after_sim_time,trial_start_object_x,trial_start_object_y,trial_start_object_z,trial_start_object_yaw,trial_start_object_v,trial_start_object_w,trial_start_tcp_x,trial_start_tcp_y,trial_start_tcp_z,trial_start_arm_max_abs_err,trial_start_gripper_left,trial_start_gripper_right,trial_start_gripper_gap_mm,trial_start_contact_left,trial_start_contact_right,trial_start_force_left,trial_start_force_right,trial_start_attached,trial_start_holding,trial_start_sim_time
high_voltage_probe_kit,1,1,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,27.622837,7.403524,4.006369,7.053316,0.873237,5.010047,primary,1.000000,4.934563,0.109950,0.593860,-0.075231,0.650320,0.593791,-0.075209,0.760270,0.593886,-0.075289,0.759397,0.000000,1,,0.582782,1,-4.299902,-2.599858,0.747902,-0.161734,0.000000,0.000000,0.492549,0.139008,0.752662,0.033072,-0.000011,0.000011,92.000001,0,0,0.000000,0.000000,0,0,1788108291.622803,-4.299916,-2.599907,0.747902,-0.161709,0.000000,0.000000,0.491992,0.134277,0.757008,0.005639,-0.000017,0.000017,92.000003,0,0,0.000000,0.000000,0,0,1788108347.192946,-4.299916,-2.599907,0.747902,-0.161709,0.000000,0.000000,0.491992,0.134277,0.757008,0.005639,-0.000017,0.000017,92.000003,0,0,0.000000,0.000000,0,0,1788108347.243093
high_voltage_probe_kit,2,2,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,49.154467,26.032065,6.937196,7.068496,0.864506,5.014558,primary,1.000000,4.945051,0.109913,0.593752,-0.075333,0.650002,0.593541,-0.075379,0.759915,0.593735,-0.075349,0.759888,0.000000,1,,0.509808,1,-4.300045,-2.599924,0.857676,-0.161953,0.253455,0.960380,0.593893,-0.075296,0.760325,0.350619,0.022886,0.020414,48.700016,0,1,20.000000,20.000000,1,1,1788108374.981190,-4.299915,-2.599897,0.747902,-0.162241,0.000000,0.000000,0.493051,0.131867,0.758003,0.002327,0.000017,-0.000017,92.000003,0,0,20.000000,20.000000,0,0,1788108436.631756,-4.299915,-2.599897,0.747902,-0.162241,0.000000,0.000000,0.492835,0.132167,0.757969,0.002327,0.000017,-0.000017,92.000003,0,0,20.000000,20.000000,0,0,1788108436.728740
high_voltage_probe_kit,3,3,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,36.284317,14.009255,6.400413,6.617211,0.960865,5.077247,primary,1.000000,4.917608,0.109887,0.594565,-0.075365,0.650298,0.594224,-0.075267,0.760184,0.594566,-0.075415,0.760194,0.000000,1,,0.622092,1,-4.299980,-2.599886,0.857649,-0.163349,0.306508,0.969156,0.593736,-0.075359,0.760002,3.141772,0.022839,0.020161,49.000026,0,1,20.000000,20.000000,1,1,1788108485.954767,-4.299921,-2.599815,0.747902,-0.162996,0.000000,0.000000,0.491904,0.133342,0.757887,0.000072,0.000018,-0.000018,92.000003,0,0,20.000000,20.000000,0,0,1788108548.788761,-4.299921,-2.599815,0.747902,-0.162996,0.000000,0.000000,0.491904,0.133342,0.757887,0.000072,0.000018,-0.000018,92.000003,0,0,20.000000,20.000000,0,0,1788108548.893801
high_voltage_probe_kit,4,4,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,36.662959,12.739464,7.260224,6.559747,1.067460,5.803042,primary,1.000000,5.703945,0.109836,0.595150,-0.075620,0.650444,0.594690,-0.075435,0.760279,0.595156,-0.075677,0.760344,0.000000,1,,0.552504,1,-4.300108,-2.599817,0.857592,-0.165574,0.407739,2.291066,0.594563,-0.075438,0.760315,0.350509,0.021684,0.021316,49.000131,1,1,20.000000,20.000000,1,1,1788108585.233405,-4.299881,-2.599653,0.747902,-0.164132,0.000000,0.000000,0.493994,0.130705,0.758074,0.002379,0.000012,0.000000,91.987543,0,0,20.000000,20.000000,0,0,1788108647.532947,-4.299881,-2.599653,0.747902,-0.164132,0.000000,0.000000,0.492844,0.132143,0.757962,0.002379,0.000012,0.000000,91.987543,0,0,20.000000,20.000000,0,0,1788108647.545180
high_voltage_probe_kit,5,5,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,34.423171,12.831661,5.523819,6.440520,1.019878,5.374998,primary,1.000000,5.296986,0.109777,0.595752,-0.075909,0.650415,0.595192,-0.075701,0.760190,0.595758,-0.075934,0.758858,0.000000,1,,0.563128,1,-4.300100,-2.599644,0.857539,-0.168113,0.509690,3.183518,0.595162,-0.075686,0.760452,0.350459,0.021363,0.021737,48.900259,0,1,20.000000,20.000000,1,1,1788108684.232350,-4.299802,-2.599387,0.747902,-0.166001,0.000000,0.000000,0.493054,0.131857,0.758000,0.002925,0.000027,-0.000027,92.000007,0,0,20.000000,20.000000,0,0,1788108751.034293,-4.299802,-2.599387,0.747902,-0.166001,0.000000,0.000000,0.493054,0.131857,0.758000,0.002341,0.000026,-0.000026,92.000006,0,0,20.000000,20.000000,0,0,1788108751.114085
