target,trial,trial_id,reset_before_object_x,reset_before_object_y,reset_before_object_z,reset_before_object_yaw,reset_before_object_v,reset_before_object_w,reset_before_tcp_x,reset_before_tcp_y,reset_before_tcp_z,reset_before_arm_max_abs_err,reset_before_gripper_left,reset_before_gripper_right,reset_before_gripper_gap_mm,reset_before_contact_left,reset_before_contact_right,reset_before_force_left,reset_before_force_right,reset_before_attached,reset_before_holding,reset_before_sim_time,reset_after_object_x,reset_after_object_y,reset_after_object_z,reset_after_object_yaw,reset_after_object_v,reset_after_object_w,reset_after_tcp_x,reset_after_tcp_y,reset_after_tcp_z,reset_after_arm_max_abs_err,reset_after_gripper_left,reset_after_gripper_right,reset_after_gripper_gap_mm,reset_after_contact_left,reset_after_contact_right,reset_after_force_left,reset_after_force_right,reset_after_attached,reset_after_holding,reset_after_sim_time,trial_start_object_x,trial_start_object_y,trial_start_object_z,trial_start_object_yaw,trial_start_object_v,trial_start_object_w,trial_start_tcp_x,trial_start_tcp_y,trial_start_tcp_z,trial_start_arm_max_abs_err,trial_start_gripper_left,trial_start_gripper_right,trial_start_gripper_gap_mm,trial_start_contact_left,trial_start_contact_right,trial_start_force_left,trial_start_force_right,trial_start_attached,trial_start_holding,trial_start_sim_time,settle_sec,reset_ok
high_voltage_probe_kit,1,1,-4.299902,-2.599858,0.747902,-0.161734,0.000000,0.000000,0.492604,0.142549,0.750778,0.050949,0.000010,-0.000000,91.989987,0,0,0.000000,0.000000,0,0,1788071745.652988,-4.299916,-2.599907,0.747902,-0.161709,0.000000,0.000000,0.491998,0.134290,0.757115,0.005366,0.000007,-0.000007,92.000001,0,0,0.000000,0.000000,0,0,1788071788.947010,-4.299916,-2.599907,0.747902,-0.161709,0.000000,0.000000,0.491998,0.134290,0.757115,0.005158,0.000006,-0.000006,92.000000,0,0,0.000000,0.000000,0,0,1788071789.047072,0.571572,1
high_voltage_probe_kit,2,2,-4.299916,-2.599907,0.747902,-0.161709,0.000000,0.000000,0.491998,0.134290,0.757115,0.005156,0.000000,0.000000,91.999731,0,0,0.000000,0.000000,0,0,1788071789.120961,-4.299913,-2.599888,0.747904,-0.162977,0.000063,0.016055,0.491934,0.134141,0.757284,0.004532,0.000007,-0.000007,92.000001,0,0,0.000000,0.000000,0,0,1788071794.440105,-4.299913,-2.599888,0.747904,-0.162977,0.000063,0.016055,0.491934,0.134141,0.757284,0.004522,0.000003,-0.000000,91.997547,0,0,0.000000,0.000000,0,0,1788071794.467591,5.253526,1
high_voltage_probe_kit,3,3,-4.299913,-2.599888,0.747903,-0.162935,0.000019,0.011103,0.491934,0.134141,0.757284,0.004553,0.000000,-0.000000,92.000000,0,0,0.000000,0.000000,0,0,1788071794.613171,-4.299912,-2.599887,0.747905,-0.163005,0.000177,0.035357,0.491897,0.134073,0.757372,0.003923,0.000022,-0.000022,92.000004,0,0,0.000000,0.000000,0,0,1788071799.956937,-4.299912,-2.599887,0.747905,-0.163005,0.000177,0.035357,0.491939,0.133844,0.757317,0.003923,0.000022,-0.000022,92.000004,0,0,0.000000,0.000000,0,0,1788071799.966178,5.252736,1
high_voltage_probe_kit,4,4,-4.299912,-2.599887,0.747905,-0.163005,0.000177,0.035357,0.491881,0.134091,0.757345,0.003988,0.000021,-0.000021,92.000004,0,0,0.000000,0.000000,0,0,1788071800.101010,-4.299912,-2.599887,0.747905,-0.162998,0.000110,0.030872,0.491896,0.133978,0.757407,0.003641,0.000020,-0.000020,92.000004,0,0,0.000000,0.000000,0,0,1788071805.358169,-4.299912,-2.599887,0.747905,-0.162998,0.000110,0.030872,0.491906,0.133907,0.757378,0.003641,0.000020,-0.000020,92.000004,0,0,0.000000,0.000000,0,0,1788071805.366759,5.179099,1
high_voltage_probe_kit,5,5,-4.299913,-2.599888,0.747903,-0.162946,0.000017,0.010313,0.491789,0.134118,0.757460,0.003548,0.000012,-0.000000,91.987787,0,0,0.000000,0.000000,0,0,1788071805.510569,-4.299912,-2.599887,0.747905,-0.163002,0.000089,0.033461,0.491877,0.134158,0.757449,0.003449,0.000026,-0.000026,92.000007,0,0,0.000000,0.000000,0,0,1788071810.711156,-4.299912,-2.599887,0.747905,-0.163002,0.000089,0.033461,0.491877,0.134158,0.757449,0.003449,0.000026,-0.000026,92.000007,0,0,0.000000,0.000000,0,0,1788071810.720533,5.109588,1
