elapsed_sec,left_force_n,right_force_n,sum_force_n
19.23596708900004,0.0,0.0,0.0
19.23618048899999,0.0,0.0,0.0
19.236614589,0.0,0.0,0.0
19.47714018100004,0.0,0.0,0.0
19.47729128100002,0.0,0.0,0.0
19.477597480000043,0.0,0.0,0.0
19.483716978000018,0.0,0.0,0.0
19.48388767800003,0.0,0.0,0.0
19.48398597800002,0.0,0.0,0.0
19.490940174000002,0.0,0.0,0.0
19.491100173999996,0.0,0.0,0.0
19.49122517400002,0.0,0.0,0.0
19.49840917099999,0.0,0.0,0.0
19.49961607099999,0.0,0.0,0.0
19.499970870000027,0.0,0.0,0.0
19.504307468000036,0.0,0.0,0.0
19.504524068000023,0.0,0.0,0.0
19.504813968000008,0.0,0.0,0.0
19.51012616600002,0.0,0.0,0.0
19.510256466000044,0.0,0.0,0.0
19.510356166000008,0.0,0.0,0.0
19.51571276300001,0.0,0.0,0.0
19.515971863000004,0.0,0.0,0.0
19.516178663000005,0.0,0.0,0.0
19.523904860000016,0.0,0.0,0.0
19.52413555999999,0.0,0.0,0.0
19.52465625900004,0.0,0.0,0.0
19.530171057000018,0.0,0.0,0.0
19.530980157000045,0.0,0.0,0.0
19.53130545600004,0.0,0.0,0.0
19.537282054000002,0.0,0.0,0.0
19.53741405400001,0.0,0.0,0.0
19.537500953999995,0.0,0.0,0.0
19.542899051000006,0.0,0.0,0.0
19.543032151000034,0.0,0.0,0.0
19.54314185100003,0.0,0.0,0.0
19.549892548000003,0.0,0.0,0.0
19.550045348000026,0.0,0.0,0.0
19.550129748000018,0.0,0.0,0.0
19.55979864400001,0.0,0.0,0.0
19.560088242999996,0.0,0.0,0.0
19.56018074299999,0.0,0.0,0.0
19.57127503800001,0.0,0.0,0.0
19.571404938,0.0,0.0,0.0
19.57156403800002,0.0,0.0,0.0
19.58420023299999,0.0,0.0,0.0
19.58432803300002,0.0,0.0,0.0
19.584584233000044,0.0,0.0,0.0
19.599463326000034,0.0,0.0,0.0
19.59969922600004,0.0,0.0,0.0
19.600174626000012,0.0,0.0,0.0
19.614824819000034,0.0,0.0,0.0
19.614951818999998,0.0,0.0,0.0
19.61503301900001,0.0,0.0,0.0
19.631651711000018,0.0,0.0,0.0
19.631852211000023,0.0,0.0,0.0
19.632010811000043,0.0,0.0,0.0
19.648748704000013,0.0,0.0,0.0
19.64922510400004,0.0,0.0,0.0
19.649384904000044,0.0,0.0,0.0
19.66638219600003,0.0,0.0,0.0
19.666527395999992,0.0,0.0,0.0
19.666632096,0.0,0.0,0.0
19.684539088000008,0.0,0.0,0.0
19.684808188000034,0.0,0.0,0.0
19.68496748800004,0.0,0.0,0.0
19.70278638000002,0.0,0.0,0.0
19.703021980000017,0.0,0.0,0.0
19.703372879000028,0.0,0.0,0.0
19.72157917100003,0.0,0.0,0.0
19.721714071000008,0.0,0.0,0.0
19.722112471000003,0.0,0.0,0.0
19.740673463000007,0.0,0.0,0.0
19.74081286300003,0.0,0.0,0.0
19.74090276300001,0.0,0.0,0.0
19.759588654000027,0.0,0.0,0.0
19.759723654000027,0.0,0.0,0.0
19.759807453999997,0.0,0.0,0.0
19.779198545000042,0.0,0.0,0.0
19.77932054500002,0.0,0.0,0.0
19.779398544999992,0.0,0.0,0.0
19.799483436000003,0.0,0.0,0.0
19.799677936000023,0.0,0.0,0.0
19.799778136000043,0.0,0.0,0.0
19.818411028000014,0.0,0.0,0.0
19.818554828000003,0.0,0.0,0.0
19.818664028,0.0,0.0,0.0
19.837821419000022,0.0,0.0,0.0
19.83832891899999,0.0,0.0,0.0
19.83849551899999,0.0,0.0,0.0
43.95609172100001,0.0,0.0,0.0
43.95626402100004,0.0,0.0,0.0
43.95640792099999,0.0,0.0,0.0
43.962617518,0.0,0.0,0.0
43.962808118,0.0,0.0,0.0
43.962931818000015,0.0,0.0,0.0
43.97382211300004,0.0,0.0,0.0
43.973968813,0.0,0.0,0.0
43.974059813,0.0,0.0,0.0
43.979731610000044,0.0,0.0,0.0
43.97987401,0.0,0.0,0.0
43.98014631000001,0.0,0.0,0.0
43.98521450800001,0.0,0.0,0.0
43.985764308,0.0,0.0,0.0
43.98597720800001,0.0,0.0,0.0
43.99096150500003,0.0,0.0,0.0
43.99151520500004,0.0,0.0,0.0
43.99170990499999,0.0,0.0,0.0
43.99736930200004,0.0,0.0,0.0
43.99751030200002,0.0,0.0,0.0
43.99759560199999,0.0,0.0,0.0
44.003777100000036,0.0,0.0,0.0
44.00412159900003,0.0,0.0,0.0
44.004226399000004,0.0,0.0,0.0
44.01076629600004,0.0,0.0,0.0
44.011121796,0.0,0.0,0.0
44.011516196,0.0,0.0,0.0
44.01832839299999,0.0,0.0,0.0
44.01876869300003,0.0,0.0,0.0
44.018917493000004,0.0,0.0,0.0
44.02810978900004,0.0,0.0,0.0
44.02824428900004,0.0,0.0,0.0
44.02852788900003,0.0,0.0,0.0
44.03955048400002,0.0,0.0,0.0
44.03975638400004,0.0,0.0,0.0
44.03986388300001,0.0,0.0,0.0
44.052716578,0.0,0.0,0.0
44.05284937800002,0.0,0.0,0.0
44.052936578000015,0.0,0.0,0.0
44.06820787100003,0.0,0.0,0.0
44.06880947100001,0.0,0.0,0.0
44.06906927,0.0,0.0,0.0
44.08549646300003,0.0,0.0,0.0
44.08566706300002,0.0,0.0,0.0
44.08597806300003,0.0,0.0,0.0
44.10174345600001,0.0,0.0,0.0
44.10187725600002,0.0,0.0,0.0
44.101962256000036,0.0,0.0,0.0
44.12012964799999,0.0,0.0,0.0
44.12045944700003,0.0,0.0,0.0
44.12070594700003,0.0,0.0,0.0
44.138020340000025,0.0,0.0,0.0
44.13818943900003,0.0,0.0,0.0
44.13828853900003,0.0,0.0,0.0
44.15667563100004,0.0,0.0,0.0
44.156830231000015,0.0,0.0,0.0
44.156926231,0.0,0.0,0.0
44.17562052300002,0.0,0.0,0.0
44.17610482200001,0.0,0.0,0.0
44.176276822000034,0.0,0.0,0.0
44.194812014000036,0.0,0.0,0.0
44.195009314,0.0,0.0,0.0
44.19510811399999,0.0,0.0,0.0
44.213708706000034,0.0,0.0,0.0
44.21414190500002,0.0,0.0,0.0
44.21488440500002,0.0,0.0,0.0
44.233032197,0.0,0.0,0.0
44.23338949700002,0.0,0.0,0.0
44.23365599700003,0.0,0.0,0.0
44.252004489,0.0,0.0,0.0
44.252148188000035,0.0,0.0,0.0
44.252296288000025,0.0,0.0,0.0
44.27203188000004,0.0,0.0,0.0
44.27217477900001,0.0,0.0,0.0
44.272487479000006,0.0,0.0,0.0
44.292147571000044,0.0,0.0,0.0
44.29241576999999,0.0,0.0,0.0
44.29298417000001,0.0,0.0,0.0
44.31131946200003,0.0,0.0,0.0
44.31167296199999,0.0,0.0,0.0
44.311914161999994,0.0,0.0,0.0
44.331032153000024,0.0,0.0,0.0
44.331332453000016,0.0,0.0,0.0
44.331618553,0.0,0.0,0.0
44.35047084400003,0.0,0.0,0.0
44.350606544000016,0.0,0.0,0.0
44.35069504400002,0.0,0.0,0.0
44.37031613600004,0.0,0.0,0.0
44.370609634999994,0.0,0.0,0.0
44.37070443499999,0.0,0.0,0.0
44.39093582600003,0.0,0.0,0.0
44.391380526000034,0.0,0.0,0.0
44.39170152600002,0.0,0.0,0.0
44.41032151799999,0.0,0.0,0.0
44.41047431800001,0.0,0.0,0.0
44.41056311800003,0.0,0.0,0.0
44.430234109000025,0.0,0.0,0.0
44.43040480900004,0.0,0.0,0.0
44.43071380800001,0.0,0.0,0.0
44.450047600000005,0.0,0.0,0.0
44.4502018,0.0,0.0,0.0
44.450362900000016,0.0,0.0,0.0
44.470066591000034,0.0,0.0,0.0
44.47019909100004,0.0,0.0,0.0
44.470470191000004,0.0,0.0,0.0
44.48987888200003,0.0,0.0,0.0
44.490057482,0.0,0.0,0.0
44.490153082000006,0.0,0.0,0.0
44.51121457200003,0.0,0.0,0.0
44.51165177199999,0.0,0.0,0.0
44.512102372000015,0.0,0.0,0.0
44.529946764000044,0.0,0.0,0.0
44.53008136400001,0.0,0.0,0.0
44.53016786400002,0.0,0.0,0.0
44.55024395500004,0.0,0.0,0.0
44.55038315500002,0.0,0.0,0.0
44.55047015500003,0.0,0.0,0.0
44.57019374600003,0.0,0.0,0.0
44.57050064600003,0.0,0.0,0.0
44.570595946000026,0.0,0.0,0.0
44.590379437000024,0.0,0.0,0.0
44.59058633699999,0.0,0.0,0.0
44.59072863700004,0.0,0.0,0.0
44.610525128000006,0.0,0.0,0.0
44.61066292800001,0.0,0.0,0.0
44.61074952800004,0.0,0.0,0.0
44.63056701900001,0.0,0.0,0.0
44.63080481899999,0.0,0.0,0.0
44.63089721900002,0.0,0.0,0.0
44.65104271000001,0.0,0.0,0.0
44.651659309000024,0.0,0.0,0.0
44.651887509000005,0.0,0.0,0.0
44.670817801,0.0,0.0,0.0
44.670952201000034,0.0,0.0,0.0
44.671032801000024,0.0,0.0,0.0
44.690664991999995,0.0,0.0,0.0
44.69083139200001,0.0,0.0,0.0
44.69093859200001,0.0,0.0,0.0
