target,trial,trial_id,planning_success,cartesian_success,cartesian_fraction,contact_success,contact_left,contact_right,force_left,force_right,force_peak,attach_success,holding_success,lift_success,failure_stage,failure_reason,duration,stage_planning_sec,stage_descend_sec,stage_contact_sec,stage_attach_sec,stage_lift_sec,lift_attempt,lift_fraction,lift_duration,lift_distance,lift_start_tcp_x,lift_start_tcp_y,lift_start_tcp_z,lift_target_tcp_x,lift_target_tcp_y,lift_target_tcp_z,lift_final_tcp_x,lift_final_tcp_y,lift_final_tcp_z,max_start_joint_error,lift_error_code,lift_error_text,lift_primary_success,lift_primary_error_code,lift_primary_error_text,lift_recovery_attempted,lift_recovery_fraction,lift_recovery_success,lift_recovery_error_code,lift_recovery_error_text,lift_state_verified,lift_state_final_target_error,lift_state_z_error,lift_final_success,settle_sec,reset_ok,reset_before_object_x,reset_before_object_y,reset_before_object_z,reset_before_object_yaw,reset_before_object_v,reset_before_object_w,reset_before_tcp_x,reset_before_tcp_y,reset_before_tcp_z,reset_before_arm_max_abs_err,reset_before_gripper_left,reset_before_gripper_right,reset_before_gripper_gap_mm,reset_before_contact_left,reset_before_contact_right,reset_before_force_left,reset_before_force_right,reset_before_attached,reset_before_holding,reset_before_sim_time,reset_after_object_x,reset_after_object_y,reset_after_object_z,reset_after_object_yaw,reset_after_object_v,reset_after_object_w,reset_after_tcp_x,reset_after_tcp_y,reset_after_tcp_z,reset_after_arm_max_abs_err,reset_after_gripper_left,reset_after_gripper_right,reset_after_gripper_gap_mm,reset_after_contact_left,reset_after_contact_right,reset_after_force_left,reset_after_force_right,reset_after_attached,reset_after_holding,reset_after_sim_time,trial_start_object_x,trial_start_object_y,trial_start_object_z,trial_start_object_yaw,trial_start_object_v,trial_start_object_w,trial_start_tcp_x,trial_start_tcp_y,trial_start_tcp_z,trial_start_arm_max_abs_err,trial_start_gripper_left,trial_start_gripper_right,trial_start_gripper_gap_mm,trial_start_contact_left,trial_start_contact_right,trial_start_force_left,trial_start_force_right,trial_start_attached,trial_start_holding,trial_start_sim_time
tooling_fixture_box,1,1,1,1,,1,1,1,13.800000,13.800000,13.800000,1,1,1,SUCCESS,none,36.808133,21.775154,5.767194,0.102082,0.878424,5.043219,primary,1.000000,4.959348,0.115022,0.592558,0.016709,0.621424,0.592355,0.016701,0.736445,0.592555,0.016697,0.735783,0.000000,1,,1,1,,0,,,,,0,,,1,1.388666,1,-3.879781,-2.039808,0.757755,-0.281414,0.003124,0.033461,0.492535,0.139424,0.752449,0.034821,-0.000005,0.000005,92.000000,0,0,0.000000,0.000000,0,0,1788147239.033934,-3.880044,-2.040008,0.757781,-0.279903,0.002048,0.023221,0.491985,0.134159,0.757104,0.004993,-0.000000,0.000010,91.990468,0,0,0.000000,0.000000,0,0,1788147292.177135,-3.880044,-2.040008,0.757781,-0.279903,0.002048,0.023221,0.491991,0.134154,0.757111,0.004949,-0.000000,0.000009,91.990598,0,0,0.000000,0.000000,0,0,1788147292.198293
tooling_fixture_box,2,2,1,1,,1,1,1,13.800000,13.800000,13.800000,1,1,1,SUCCESS,none,36.012505,20.175063,6.787925,0.107713,0.910130,4.777153,primary,1.000000,4.693320,0.114838,0.593761,0.016366,0.621516,0.593228,0.016600,0.736353,0.593775,0.016263,0.736432,0.000000,1,,1,1,,0,,,,,0,,,1,1.408497,1,-3.879806,-2.039828,0.872629,-0.280787,0.232825,0.870022,0.592533,0.016694,0.736431,3.398823,0.006031,0.005969,79.999983,0,1,13.800000,13.800000,1,1,1788147329.077585,-3.880044,-2.040008,0.757787,-0.279903,0.001883,0.014715,0.491904,0.133285,0.757891,0.000035,-0.000000,0.000000,92.000000,0,0,13.800000,13.800000,0,0,1788147396.410785,-3.880044,-2.040008,0.757787,-0.279903,0.001883,0.014715,0.491904,0.133285,0.757891,0.000035,-0.000000,0.000000,91.999550,0,0,13.800000,13.800000,0,0,1788147396.490783
tooling_fixture_box,3,3,1,1,,1,1,1,13.800000,13.800000,13.800000,1,1,1,SUCCESS,none,40.558447,26.563871,4.889709,0.106347,0.846374,4.919204,primary,1.000000,4.820460,0.115202,0.593231,0.016437,0.620938,0.592344,0.016533,0.736137,0.593095,0.016446,0.735717,0.000030,1,,1,1,,0,,,,,0,,,1,1.220335,1,-3.879687,-2.039640,0.872615,-0.281140,0.394086,3.423145,0.593755,0.016263,0.736524,1.652454,0.005786,0.006214,80.000079,0,1,13.800000,13.800000,1,1,1788147433.177922,-3.879993,-2.040024,0.757861,-0.279864,0.000946,0.025799,0.491890,0.133315,0.757898,0.000038,0.000022,0.000000,91.977659,0,0,13.800000,13.800000,0,0,1788147501.037414,-3.879993,-2.040024,0.757861,-0.279864,0.000946,0.025799,0.491890,0.133315,0.757898,0.000038,0.000022,0.000000,91.977659,0,0,13.800000,13.800000,0,0,1788147501.111140
tooling_fixture_box,4,4,1,1,,1,1,1,15.150000,15.150000,15.150000,1,1,1,SUCCESS,none,33.546612,19.952506,4.901070,0.206726,0.705697,4.530409,primary,1.000000,4.457104,0.114769,0.593270,0.016582,0.621347,0.592352,0.016537,0.736112,0.593247,0.016536,0.736280,0.000000,1,,1,1,,0,,,,,0,,,1,1.551421,1,-3.879730,-2.039671,0.872676,-0.280052,0.455424,3.262253,0.592999,0.016454,0.735994,2.891763,0.006069,0.005931,79.999940,0,1,13.800000,13.800000,1,1,1788147542.324534,-3.880043,-2.040009,0.757769,-0.279902,0.002060,0.025065,0.491901,0.133315,0.757902,0.000093,0.000016,-0.000016,92.000002,0,0,13.800000,13.800000,0,0,1788147608.644424,-3.880043,-2.040009,0.757769,-0.279902,0.002060,0.025065,0.491901,0.133315,0.757902,0.000093,0.000017,-0.000017,92.000002,0,0,13.800000,13.800000,0,0,1788147608.719444
tooling_fixture_box,5,5,1,1,,1,1,1,13.800000,13.800000,13.800000,1,1,1,SUCCESS,none,45.478908,29.758996,6.591998,0.108020,0.779069,4.998364,primary,1.000000,4.920195,0.115357,0.593844,0.016998,0.620779,0.592348,0.016559,0.736125,0.593548,0.016963,0.735845,0.000000,1,,1,1,,0,,,,,0,,,1,3.532443,1,-3.879685,-2.039455,0.873074,-0.280390,0.572729,4.097552,0.593253,0.016505,0.736351,1.650708,0.006442,0.006158,79.399903,0,1,15.150000,15.150000,1,1,1788147642.945752,-3.880028,-2.040001,0.757773,-0.280011,0.001862,0.013420,0.491906,0.133332,0.757883,0.000077,0.000022,-0.000000,91.978342,0,0,15.150000,15.150000,0,0,1788147711.873290,-3.880028,-2.040001,0.757773,-0.280011,0.001862,0.013420,0.491906,0.133332,0.757883,0.000076,0.000023,-0.000023,92.000005,0,0,15.150000,15.150000,0,0,1788147712.012459
