target,trial,trial_id,planning_success,cartesian_success,cartesian_fraction,contact_success,contact_left,contact_right,force_left,force_right,force_peak,attach_success,holding_success,lift_success,failure_stage,failure_reason,duration,stage_planning_sec,stage_descend_sec,stage_contact_sec,stage_attach_sec,stage_lift_sec,lift_attempt,lift_fraction,lift_duration,lift_distance,lift_start_tcp_x,lift_start_tcp_y,lift_start_tcp_z,lift_target_tcp_x,lift_target_tcp_y,lift_target_tcp_z,lift_final_tcp_x,lift_final_tcp_y,lift_final_tcp_z,max_start_joint_error,lift_error_code,lift_error_text,lift_primary_success,lift_primary_error_code,lift_primary_error_text,lift_recovery_attempted,lift_recovery_fraction,lift_recovery_success,lift_recovery_error_code,lift_recovery_error_text,lift_state_verified,lift_state_final_target_error,lift_state_z_error,lift_final_success,settle_sec,reset_ok,reset_before_object_x,reset_before_object_y,reset_before_object_z,reset_before_object_yaw,reset_before_object_v,reset_before_object_w,reset_before_tcp_x,reset_before_tcp_y,reset_before_tcp_z,reset_before_arm_max_abs_err,reset_before_gripper_left,reset_before_gripper_right,reset_before_gripper_gap_mm,reset_before_contact_left,reset_before_contact_right,reset_before_force_left,reset_before_force_right,reset_before_attached,reset_before_holding,reset_before_sim_time,reset_after_object_x,reset_after_object_y,reset_after_object_z,reset_after_object_yaw,reset_after_object_v,reset_after_object_w,reset_after_tcp_x,reset_after_tcp_y,reset_after_tcp_z,reset_after_arm_max_abs_err,reset_after_gripper_left,reset_after_gripper_right,reset_after_gripper_gap_mm,reset_after_contact_left,reset_after_contact_right,reset_after_force_left,reset_after_force_right,reset_after_attached,reset_after_holding,reset_after_sim_time,trial_start_object_x,trial_start_object_y,trial_start_object_z,trial_start_object_yaw,trial_start_object_v,trial_start_object_w,trial_start_tcp_x,trial_start_tcp_y,trial_start_tcp_z,trial_start_arm_max_abs_err,trial_start_gripper_left,trial_start_gripper_right,trial_start_gripper_gap_mm,trial_start_contact_left,trial_start_contact_right,trial_start_force_left,trial_start_force_right,trial_start_attached,trial_start_holding,trial_start_sim_time
high_voltage_probe_kit,1,1,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,22.868307,5.161436,2.834882,6.892443,0.804652,3.960487,primary,1.000000,3.896997,0.109948,0.593819,-0.075458,0.649991,0.593759,-0.075412,0.759939,0.593823,-0.075501,0.759999,0.000000,1,,1,1,,0,,,,,0,,,1,0.561858,1,-4.299902,-2.599858,0.747902,-0.161734,0.000000,0.000000,0.492537,0.140951,0.751623,0.042988,0.000000,0.000007,91.992920,0,0,0.000000,0.000000,0,0,1788147848.520876,-4.299916,-2.599907,0.747902,-0.161709,0.000000,0.000000,0.491984,0.134261,0.757083,0.005360,-0.000000,0.000010,91.990412,0,0,0.000000,0.000000,0,0,1788147890.662092,-4.299916,-2.599907,0.747902,-0.161709,0.000000,0.000000,0.491984,0.134261,0.757083,0.005360,-0.000000,0.000010,91.990412,0,0,0.000000,0.000000,0,0,1788147890.671046
high_voltage_probe_kit,2,2,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,28.458845,9.257129,4.250338,6.919726,0.802727,4.020881,primary,1.000000,3.961448,0.109898,0.593741,-0.075511,0.650017,0.593534,-0.075384,0.759915,0.593738,-0.075583,0.760018,0.000000,1,,1,1,,0,,,,,0,,,1,0.543962,1,-4.300095,-2.599869,0.857527,-0.161622,0.405870,0.896447,0.593823,-0.075528,0.760014,0.350923,0.022725,0.020375,48.900004,1,1,20.000000,20.000000,1,1,1788147913.635949,-4.299911,-2.599907,0.747902,-0.162212,0.000000,0.000000,0.492595,0.132433,0.757949,0.001773,0.000023,0.000000,91.977445,0,0,20.000000,20.000000,0,0,1788147962.381135,-4.299911,-2.599907,0.747902,-0.162212,0.000000,0.000000,0.492595,0.132433,0.757949,0.001773,0.000023,0.000000,91.977445,0,0,20.000000,20.000000,0,0,1788147962.433164
high_voltage_probe_kit,3,3,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,25.676020,7.674393,3.464454,6.905200,0.673869,3.752280,primary,1.000000,3.684272,0.109854,0.594073,-0.075609,0.650086,0.593759,-0.075412,0.759939,0.594067,-0.075639,0.760085,0.000000,1,,1,1,,0,,,,,0,,,1,0.541767,1,-4.300133,-2.599863,0.857458,-0.163593,0.483500,1.692811,0.593742,-0.075590,0.760038,0.350931,0.022597,0.020203,49.200044,0,1,20.000000,20.000000,1,1,1788147991.580393,-4.299916,-2.599907,0.747902,-0.161709,0.000000,0.000000,0.493068,0.131873,0.757983,0.001165,0.000023,-0.000023,92.000005,0,0,20.000000,20.000000,0,0,1788148039.780399,-4.299916,-2.599907,0.747902,-0.161709,0.000000,0.000000,0.493068,0.131873,0.757983,0.000591,0.000022,-0.000000,91.978479,0,0,20.000000,20.000000,0,0,1788148039.843866
high_voltage_probe_kit,4,4,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,29.184519,10.179451,4.575407,6.894927,0.688213,3.634528,primary,1.000000,3.577998,0.109811,0.594088,-0.075697,0.650105,0.593616,-0.075422,0.759915,0.594077,-0.075729,0.760002,0.000000,1,,1,1,,0,,,,,0,,,1,0.501889,1,-4.300152,-2.599855,0.857402,-0.164068,0.553923,2.043464,0.594079,-0.075656,0.760091,0.350895,0.022515,0.020584,48.900087,0,1,20.000000,20.000000,1,1,1788148066.131924,-4.299853,-2.599736,0.747902,-0.163389,0.000000,0.000000,0.492840,0.132157,0.757963,0.002341,0.000026,-0.000026,92.000007,0,0,20.000000,20.000000,0,0,1788148112.197338,-4.299853,-2.599736,0.747902,-0.163389,0.000000,0.000000,0.492597,0.132453,0.757949,0.001736,0.000025,-0.000025,92.000006,0,0,20.000000,20.000000,0,0,1788148112.238419
high_voltage_probe_kit,5,5,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,27.850761,10.446853,2.802144,6.902409,0.726174,3.760190,primary,1.000000,3.703260,0.109769,0.594347,-0.075804,0.650147,0.593726,-0.075489,0.759914,0.594336,-0.075859,0.760144,0.000000,1,,1,1,,0,,,,,0,,,1,0.554564,1,-4.300117,-2.599700,0.857379,-0.167286,0.626781,3.056368,0.594086,-0.075747,0.760112,0.350923,0.022376,0.020424,49.200223,0,1,20.000000,20.000000,1,1,1788148142.116384,-4.299755,-2.599479,0.747902,-0.165240,0.000000,0.000000,0.492820,0.132146,0.757973,0.001738,0.000021,-0.000000,91.979311,0,0,20.000000,20.000000,0,0,1788148188.176194,-4.299755,-2.599479,0.747902,-0.165240,0.000000,0.000000,0.492820,0.132146,0.757973,0.001173,0.000021,-0.000000,91.978918,0,0,20.000000,20.000000,0,0,1788148188.214912
high_voltage_probe_kit,6,6,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,27.865631,8.543133,4.592781,6.932696,0.677899,3.909304,primary,1.000000,3.847828,0.109726,0.594684,-0.075956,0.650191,0.593905,-0.075587,0.759914,0.594683,-0.076016,0.757803,0.000000,1,,1,1,,0,,,,,0,,,1,0.566359,1,-4.300022,-2.599447,0.857377,-0.170694,0.689423,3.987315,0.594347,-0.075873,0.760148,0.350938,0.022241,0.020558,49.200414,0,1,20.000000,20.000000,1,1,1788148216.805603,-4.299615,-2.599117,0.747902,-0.167671,0.000000,0.000000,0.492595,0.132437,0.757950,0.001170,-0.000000,0.000000,91.999512,0,0,20.000000,20.000000,0,0,1788148263.185245,-4.299615,-2.599117,0.747902,-0.167671,0.000000,0.000000,0.492595,0.132437,0.757950,0.000585,-0.000001,0.000001,92.000002,0,0,20.000000,20.000000,0,0,1788148263.205166
high_voltage_probe_kit,7,7,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,70.293946,11.656814,6.240938,6.921327,0.881954,41.387445,primary,1.000000,41.331103,0.109686,0.595049,-0.076123,0.650232,0.594124,-0.075705,0.759913,0.595150,-0.076364,0.760276,0.000000,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,,,,,1,0.001272,0.000362,1,0.542364,1,-4.299894,-2.599096,0.857370,-0.174599,0.768429,4.895276,0.594675,-0.076002,0.760190,0.351038,0.022110,0.020689,49.200655,0,1,20.000000,20.000000,1,1,1788148291.826624,-4.299444,-2.598663,0.747902,-0.170741,0.000000,0.000000,0.492828,0.132148,0.757969,0.001755,-0.000001,0.000001,92.000002,0,0,20.000000,20.000000,0,0,1788148343.455959,-4.299444,-2.598663,0.747902,-0.170741,0.000000,0.000000,0.492828,0.132148,0.757969,0.001170,-0.000001,0.000001,92.000002,0,0,20.000000,20.000000,0,0,1788148343.525551
high_voltage_probe_kit,8,8,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,63.632230,8.667722,3.161833,6.891538,0.707355,40.993642,primary,1.000000,40.938557,0.109606,0.596750,-0.077328,0.650303,0.595585,-0.076664,0.759900,0.596814,-0.077470,0.760325,0.000000,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,,,,,1,0.001530,0.000425,1,0.540157,1,-4.298930,-2.597091,0.857596,-0.185096,0.992002,7.081992,0.596187,-0.077016,0.760647,0.351137,0.021844,0.021254,48.901330,0,1,20.000000,20.000000,1,1,1788148415.265941,-4.298317,-2.596450,0.747903,-0.179495,0.000000,0.000000,0.492371,0.132713,0.757944,0.001182,0.000005,-0.000000,91.995243,0,0,20.000000,20.000000,0,0,1788148462.156681,-4.298317,-2.596450,0.747903,-0.179495,0.000000,0.000000,0.492371,0.132713,0.757944,0.000601,-0.000012,0.000012,92.000005,0,0,20.000000,20.000000,0,0,1788148462.232118
high_voltage_probe_kit,9,9,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,65.774549,10.335970,3.643817,6.884253,0.691046,41.008751,primary,1.000000,40.955948,0.109541,0.598876,-0.078717,0.650370,0.597490,-0.077903,0.759899,0.598889,-0.078789,0.760382,0.000000,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,,,,,1,0.001725,0.000483,1,8.010412,1,-4.297572,-2.594515,0.857605,-0.197734,1.142062,8.577261,0.598051,-0.078266,0.760760,0.351584,0.021645,0.020953,49.402015,0,1,20.000000,20.000000,1,1,1788148527.258015,-4.296877,-2.593719,0.747903,-0.190465,0.000000,0.000000,0.492007,0.133002,0.757778,0.000589,0.000027,-0.000027,92.000014,0,0,20.000000,20.000000,0,0,1788148580.163604,-4.296877,-2.593719,0.747903,-0.190465,0.000000,0.000000,0.491823,0.133395,0.757932,0.000257,0.000020,-0.000020,92.000009,0,0,20.000000,20.000000,0,0,1788148580.242821
high_voltage_probe_kit,10,10,1,1,,1,1,1,20.000000,20.000000,20.000000,1,1,1,SUCCESS,none,63.124280,7.827395,3.687318,6.886414,0.735041,40.775190,primary,1.000000,40.720337,0.109497,0.601233,-0.080153,0.650416,0.599683,-0.079288,0.759899,0.601252,-0.080252,0.760424,0.000000,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,-4,MOVEIT_EXECUTE_ACTION_STATUS_6_ERROR_-4,0,,,,,1,0.001915,0.000526,1,8.005791,1,-4.295984,-2.591483,0.857651,-0.211942,1.265752,9.800972,0.600301,-0.079668,0.760866,0.352285,0.021474,0.021123,49.402697,0,1,20.000000,20.000000,1,1,1788148647.419084,-4.295240,-2.590549,0.747903,-0.203469,0.000000,0.000000,0.491862,0.133203,0.757915,0.000456,-0.000001,0.000002,91.998330,0,0,20.000000,20.000000,0,0,1788148701.499786,-4.295240,-2.590549,0.747903,-0.203469,0.000000,0.000000,0.491862,0.133203,0.757915,0.000211,0.000023,-0.000000,91.976608,0,0,20.000000,20.000000,0,0,1788148701.596349
