trial_id,command_x,command_y,command_z,command_qx,command_qy,command_qz,command_qw,actual_x,actual_y,actual_z,actual_qx,actual_qy,actual_qz,actual_qw,move_success,duration,measurement_source,dx_mm,dy_mm,dz_mm,repeatability_error_mm
1,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.32672906169799293,-0.07913454996189873,0.3710088850883291,0.9963795074440466,-0.015307477432866022,-0.08190738212382365,0.016874212094892264,0,0.30192647400008354,MoveIt FK from current joint_state,nan,nan,nan,nan
2,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.32668806247260096,-0.07915259781122863,0.37102013601721573,0.9963751291563503,-0.015296203492448023,-0.08194281791151524,0.016970643774002675,0,0.29585897400011163,MoveIt FK from current joint_state,nan,nan,nan,nan
3,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.3266775246442888,-0.07911980587976272,0.3710259936421092,0.9963755619844213,-0.015294986858699846,-0.08194187077287297,0.016950889990277943,0,0.2931752750000669,MoveIt FK from current joint_state,nan,nan,nan,nan
4,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.3267037552815138,-0.07914334507005243,0.37101466343709055,0.9963748659505643,-0.015293177307655876,-0.08195554413598963,0.016927315652671658,0,0.2943560900000648,MoveIt FK from current joint_state,nan,nan,nan,nan
5,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.3267093205042888,-0.07916633367280808,0.3710078956533279,0.996374962991498,-0.01529442666950214,-0.08195015287660247,0.016946565435033905,0,0.2964272169999731,MoveIt FK from current joint_state,nan,nan,nan,nan
6,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.3266947411634882,-0.07914399327127328,0.3710265267935927,0.9963768603737327,-0.015302544520310235,-0.08192516630921601,0.01694849162003143,0,0.2976842180000858,MoveIt FK from current joint_state,nan,nan,nan,nan
7,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.32667055075365603,-0.07910726396876801,0.37103124297480006,0.9963775853295845,-0.015302636050941594,-0.08191627680739068,0.016948757379049422,0,0.3096460219999244,MoveIt FK from current joint_state,nan,nan,nan,nan
8,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.3266918607933434,-0.0791198840278522,0.3710181160772227,0.996377134225333,-0.015299272722966866,-0.08192739513714563,0.01692455532954868,0,0.2988152179998451,MoveIt FK from current joint_state,nan,nan,nan,nan
9,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.326719458968732,-0.07917174078359558,0.3710064959802247,0.9963748932946771,-0.015294219614948017,-0.0819535990496376,0.016934180263651868,0,0.298933519000002,MoveIt FK from current joint_state,nan,nan,nan,nan
10,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.32667927550251624,-0.07915719781253676,0.37101835098392244,0.9963738812261314,-0.015291711590098823,-0.08195458412878638,0.016991130253689726,0,0.2942309170000499,MoveIt FK from current joint_state,nan,nan,nan,nan
11,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.3266877372636364,-0.079118726490054,0.37102312486925326,0.9963770218488099,-0.015300232999028331,-0.08192721031593056,0.016931196405480742,0,0.29558671700010564,MoveIt FK from current joint_state,nan,nan,nan,nan
12,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.3267258683903959,-0.07915135204481556,0.37101094148393077,0.9963777261659353,-0.015303030793120592,-0.08192493741745534,0.016898185644948178,0,0.3055935209999916,MoveIt FK from current joint_state,nan,nan,nan,nan
13,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.3267049348379129,-0.07917245979278804,0.37100638868392155,0.9963741131884959,-0.015291614381784991,-0.08195796351983822,0.016961288663249353,0,0.2995662179998817,MoveIt FK from current joint_state,nan,nan,nan,nan
14,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.3266724893757153,-0.07911355823429674,0.37103330385434785,0.9963760354802274,-0.015297399750399824,-0.08193481075791134,0.016955007155595374,0,0.29402731599998333,MoveIt FK from current joint_state,nan,nan,nan,nan
15,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.3266783076728813,-0.07912080326885912,0.3710257807277588,0.9963755581348247,-0.0152951627363583,-0.08194195854684366,0.01695053326276772,0,0.29265631600014785,MoveIt FK from current joint_state,nan,nan,nan,nan
16,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.32671673565214804,-0.07916080358865733,0.37101370061746564,0.9963755900824951,-0.015297106167311737,-0.0819466357762119,0.01692427001753751,0,0.2960722170000736,MoveIt FK from current joint_state,nan,nan,nan,nan
17,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.326704857407993,-0.07917023032583734,0.371006316223633,0.9963742228130583,-0.015291415376077217,-0.08195700014704593,0.016959683262585127,0,0.3018006199999945,MoveIt FK from current joint_state,nan,nan,nan,nan
18,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.32667339936643475,-0.07911593399720311,0.371033986678978,0.9963760519479423,-0.015297994821079514,-0.08193438713548443,0.016955549646596745,0,0.3054791210001895,MoveIt FK from current joint_state,nan,nan,nan,nan
19,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.32670832783162235,-0.07914516033452236,0.3710135841383977,0.9963753726127824,-0.015293708195176932,-0.08195004804595499,0.016923621528662235,0,0.3147448560000612,MoveIt FK from current joint_state,nan,nan,nan,nan
20,0.62,0.0,0.72,1.0,0.0,0.0,0.0,0.326719804639171,-0.07916267766286214,0.37101270714618306,0.996375837588487,-0.015297768317267197,-0.08194395263840296,0.01692209148856654,0,0.316626886999984,MoveIt FK from current joint_state,nan,nan,nan,nan
